Date,Variacion_IPC,IPC_suma
2010-09-01,0.1,358.3999999999997
2010-10-01,0.9,359.29999999999967
2010-11-01,0.5,359.79999999999967
2010-12-01,0.6,360.3999999999997
2011-01-01,-0.7,359.6999999999997
2011-02-01,0.1,359.7999999999997
2011-03-01,0.7,360.4999999999997
2011-04-01,1.2,361.6999999999997
2011-05-01,0.0,361.6999999999997
2011-06-01,-0.1,361.5999999999997
2011-07-01,-0.5,361.0999999999997
2011-08-01,0.1,361.1999999999997
2011-09-01,0.2,361.3999999999997
2011-10-01,0.8,362.1999999999997
2011-11-01,0.4,362.5999999999997
2011-12-01,0.1,362.6999999999997
2012-01-01,-1.1,361.5999999999997
2012-02-01,0.1,361.6999999999997
2012-03-01,0.7,362.3999999999997
2012-04-01,1.4,363.79999999999967
2012-05-01,-0.1,363.69999999999965
2012-06-01,-0.2,363.49999999999966
2012-07-01,-0.2,363.29999999999967
2012-08-01,0.6,363.8999999999997
2012-09-01,1.0,364.8999999999997
2012-10-01,0.8,365.6999999999997
2012-11-01,-0.1,365.5999999999997
2012-12-01,0.1,365.6999999999997
2013-01-01,-1.3,364.3999999999997
2013-02-01,0.2,364.5999999999997
2013-03-01,0.4,364.99999999999966
2013-04-01,0.4,365.39999999999964
2013-05-01,0.2,365.5999999999996
2013-06-01,0.1,365.69999999999965
2013-07-01,-0.5,365.19999999999965
2013-08-01,0.3,365.49999999999966
2013-09-01,-0.2,365.29999999999967
2013-10-01,0.4,365.69999999999965
2013-11-01,0.2,365.89999999999964
2013-12-01,0.1,365.99999999999966
2014-01-01,-1.3,364.69999999999965
2014-02-01,0.0,364.69999999999965
2014-03-01,0.2,364.89999999999964
2014-04-01,0.9,365.7999999999996
2014-05-01,0.0,365.7999999999996
2014-06-01,0.0,365.7999999999996
2014-07-01,-0.9,364.89999999999964
2014-08-01,0.2,365.0999999999996
2014-09-01,0.2,365.2999999999996
2014-10-01,0.5,365.7999999999996
2014-11-01,-0.1,365.6999999999996
2014-12-01,-0.6,365.09999999999957
2015-01-01,-1.6,363.49999999999955
2015-02-01,0.2,363.69999999999953
2015-03-01,0.6,364.29999999999956
2015-04-01,0.9,365.19999999999953
2015-05-01,0.5,365.69999999999953
2015-06-01,0.3,365.99999999999955
2015-07-01,-0.9,365.09999999999957
2015-08-01,-0.3,364.79999999999956
2015-09-01,-0.3,364.49999999999955
2015-10-01,0.6,365.09999999999957
2015-11-01,0.4,365.49999999999955
2015-12-01,-0.3,365.19999999999953
2016-01-01,-1.9,363.29999999999956
2016-02-01,-0.4,362.8999999999996
